year,month,day,dayofweek,dayofyear,quarter,weekofyear,is_month_start,is_month_end,sin_month,cos_month,sin_day,cos_day,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,quantity,profit,prediction
2017,1,6,4,6,1,1,0,0,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,7,5,7,1,1,0,0,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,8,6,8,1,1,0,0,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,9,0,9,1,2,0,0,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,10,1,10,1,2,0,0,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,11,2,11,1,2,0,0,0.49999999999999994,0.8660254037844387,0.7907757369376989,-0.6121059825476626,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,12,3,12,1,2,0,0,0.49999999999999994,0.8660254037844387,0.6513724827222223,-0.758758122692791,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,13,4,13,1,2,0,0,0.49999999999999994,0.8660254037844387,0.48530196253108104,-0.8743466161445821,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,14,5,14,1,2,0,0,0.49999999999999994,0.8660254037844387,0.29936312297335804,-0.9541392564000488,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,15,6,15,1,2,0,0,0.49999999999999994,0.8660254037844387,0.10116832198743272,-0.994869323391895,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,16,0,16,1,3,0,0,0.49999999999999994,0.8660254037844387,-0.10116832198743204,-0.9948693233918952,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,17,1,17,1,3,0,0,0.49999999999999994,0.8660254037844387,-0.2993631229733582,-0.9541392564000488,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,18,2,18,1,3,0,0,0.49999999999999994,0.8660254037844387,-0.4853019625310808,-0.8743466161445822,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,19,3,19,1,3,0,0,0.49999999999999994,0.8660254037844387,-0.651372482722222,-0.7587581226927911,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,20,4,20,1,3,0,0,0.49999999999999994,0.8660254037844387,-0.7907757369376986,-0.6121059825476627,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,21,5,21,1,3,0,0,0.49999999999999994,0.8660254037844387,-0.8978045395707417,-0.44039415155763423,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,22,6,22,1,3,0,0,0.49999999999999994,0.8660254037844387,-0.9680771188662041,-0.2506525322587213,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,23,0,23,1,4,0,0,0.49999999999999994,0.8660254037844387,-0.9987165071710528,-0.05064916883871355,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,24,1,24,1,4,0,0,0.49999999999999994,0.8660254037844387,-0.9884683243281114,0.15142777750457667,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,25,2,25,1,4,0,0,0.49999999999999994,0.8660254037844387,-0.9377521321470804,0.3473052528448203,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,26,3,26,1,4,0,0,0.49999999999999994,0.8660254037844387,-0.8486442574947509,0.5289640103269624,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,27,4,27,1,4,0,0,0.49999999999999994,0.8660254037844387,-0.72479278722912,0.6889669190756865,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,28,5,28,1,4,0,0,0.49999999999999994,0.8660254037844387,-0.5712682150947924,0.8207634412072763,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,29,6,29,1,4,0,0,0.49999999999999994,0.8660254037844387,-0.3943558551133187,0.9189578116202306,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,30,0,30,1,5,0,0,0.49999999999999994,0.8660254037844387,-0.20129852008866114,0.9795299412524943,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,1,31,1,31,1,5,0,1,0.49999999999999994,0.8660254037844387,-2.4492935982947064e-16,1.0,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,2,1,2,32,1,5,1,0,0.8660254037844386,0.5000000000000001,0.20129852008866006,0.9795299412524945,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,2,2,3,33,1,5,0,0,0.8660254037844386,0.5000000000000001,0.39435585511331855,0.9189578116202306,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,2,3,4,34,1,5,0,0,0.8660254037844386,0.5000000000000001,0.5712682150947923,0.8207634412072763,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
2017,2,4,5,35,1,5,0,0,0.8660254037844386,0.5000000000000001,0.72479278722912,0.6889669190756866,102.94742857142799,78.73558973139185,61.52928571428591,68.8904524887625,80.22479999999996,77.21551811230226,2,56.511,182.64377
